---
name: android_pinyin_simple
version: "0.1"
sort: by_weight
...
鼥	ba  1
避	bi	1030
壁	bi	1042
毕	bi	1113
碧	bi	1204
俾	bi	1617
币	bi	2377
逼	bi	3237
笔	bi	3249
必	bi	3878
比	bi	68654
鴘	bian	1
稨	bian	1
汳	bian	1
峅	bian	1
甂	bian	1
惼	bian	1
豍	bian	1
艑	bian	1
揙	bian	1
萹	bian	1
辧	bian	2
髟	bian	2
辮	bian	2
籩	bian	2
窆	bian	3
缏	bian	3
碥	bian	3
箯	bian	3
抃	bian	3
貶	bian	4
鳊	bian	5
邉	bian	5
蝙	bian	6
辯	bian	6
忭	bian	7
笾	bian	9
褊	bian	12
釆	bian	15
変	bian	21
砭	bian	28
編	bian	30
汴	bian	45
邊	bian	49
苄	bian	49
變	bian	49
弁	bian	54
煸	bian	57
匾	bian	111
辫	bian	130
卞	bian	249
贬	bian	292
辨	bian	507
鞭	bian	530
辩	bian	588
扁	bian	1723
编	bian	2919
遍	bian	3213
变	bian	13219
边	bian	14352
便	bian	16096
鰾	biao	1
飇	biao	1
臕	biao	1
瀌	biao	1
髟	biao	1
墂	biao	1
爂	biao	1
贆	biao	1
檦	biao	2
滮	biao	2
猋	biao	2
瘭	biao	2
鏢	biao	2
熛	biao	2
鑣	biao	2
驃	biao	2
褾	biao	2
藨	biao	3
諘	biao	3
儦	biao	3
飆	biao	7
鳔	biao	8
錶	biao	8
俵	biao	8
摽	biao	9
飑	biao	14
標	biao	15
灬	biao	18
杓	biao	18
镳	biao	28
骠	biao	39
婊	biao	41
裱	biao	75
膘	biao	110
镖	biao	208
飚	biao	262
飙	biao	443
彪	biao	787
标	biao	3068
表	biao	18141
蛂	bie	1
徶	bie	1
襒	bie	1
虌	bie	1
鼈	bie	1
癟	bie	2
柲	bie	2
蟞	bie	2
咇	bie	2
鱉	bie	2
彆	bie	2
蹩	bie	40
別	bie	78
瘪	bie	165
鳖	bie	256
憋	bie	1262
别	bie	48131
鑌	bin	1
霦	bin	1
髕	bin	1
椕	bin	1
虨	bin	1
臏	bin	1
濵	bin	1
擯	bin	2
蠙	bin	2
瀕	bin	2
繽	bin	2
鬢	bin	4
濱	bin	5
邠	bin	7
儐	bin	8
傧	bin	8
賓	bin	9
髌	bin	13
豳	bin	14
膑	bin	15
玢	bin	16
摈	bin	19
殯	bin	21
槟	bin	25
缤	bin	26
殡	bin	35
濒	bin	48
镔	bin	62
鬓	bin	181
滨	bin	643
宾	bin	814
彬	bin	968
斌	bin	1546
栟	bing	1
鋲	bing	1
蛃	bing	1
鞆	bing	1
庰	bing	1
怲	bing	1
窉	bing	1
陃	bing	1
誁	bing	1
苪	bing	2
檳	bing	2
梹	bing	2
寎	bing	2
竝	bing	2
餠	bing	3
棅	bing	3
倂	bing	4
垪	bing	4
稟	bing	5
抦	bing	5
掤	bing	6
偋	bing	7
昺	bing	7
鞞	bing	10
併	bing	10
槟	bing	14
餅	bing	14
屏	bing	16
邴	bing	20
幷	bing	34
摒	bing	57
氷	bing	71
禀	bing	102
並	bing	253
秉	bing	339
炳	bing	440
柄	bing	550
丙	bing	684
饼	bing	1276
兵	bing	4612
冰	bing	4842
病	bing	8090
并	bing	79036
鵓	bo	1
鱍	bo	1
挬	bo	1
郣	bo	1
餑	bo	1
蹳	bo	1
餺	bo	1
鑮	bo	1
鉑	bo	1
胉	bo	1
葧	bo	1
鋍	bo	1
瓝	bo	1
欂	bo	1
懪	bo	1
秡	bo	1
糪	bo	1
鉢	bo	1
襮	bo	1
犦	bo	1
鈸	bo	2
僠	bo	2
譒	bo	2
簙	bo	2
詙	bo	2
蔔	bo	2
狛	bo	2
蘗	bo	2
嶓	bo	2
駮	bo	3
鹁	bo	3
駁	bo	5
饽	bo	6
缽	bo	6
檗	bo	6
愽	bo	6
鎛	bo	7
踣	bo	7
浡	bo	8
孛	bo	10
礡	bo	10
魄	bo	11
礴	bo	12
剝	bo	14
僰	bo	14
擘	bo	14
簸	bo	20
钹	bo	21
撥	bo	25
亳	bo	25
菠	bo	31
箔	bo	55
跛	bo	59
舶	bo	71
渤	bo	106
帛	bo	121
癶	bo	122
铂	bo	175
脖	bo	176
玻	bo	184
钵	bo	237
卜	bo	247
驳	bo	263
膊	bo	272
泊	bo	339
勃	bo	347
柏	bo	381
搏	bo	456
剥	bo	503
啵	bo	793
薄	bo	1256
伯	bo	1525
拨	bo	1685
播	bo	1756
博	bo	5007
波	bo	5396
轐	bu	1
篰	bu	1
峬	bu	1
踄	bu	1
誧	bu	2
蔀	bu	3
醭	bu	3
餔	bu	3
鈽	bu	4
鳪	bu	4
鸔	bu	5
咘	bu	5
钸	bu	6
晡	bu	6
瓿	bu	9
埔	bu	9
佈	bu	12
堡	bu	12
歩	bu	16
逋	bu	17
補	bu	26
钚	bu	60
怖	bu	72
哺	bu	85
吥	bu	115
卟	bu	140
埠	bu	259
簿	bu	293
捕	bu	421
卜	bu	488
步	bu	3932
布	bu	4782
补	bu	7072
部	bu	13825
不	bu	590643
汃	pa	1
跁	pa	2
舥	pa	2
鈀	pa	2
袙	pa	3
钯	pa	6
筢	pa	7
帊	pa	9
杷	pa	13
掱	pa	13
葩	pa	36
琶	pa	45
耙	pa	63
扒	pa	203
啪	pa	244
趴	pa	681
帕	pa	1080
爬	pa	3502
怕	pa	22788
箄	pai	1
鎃	pai	1
犤	pai	3
簰	pai	4
棑	pai	6
蒎	pai	7
迫	pai	8
俳	pai	17
徘	pai	27
湃	pai	29
哌	pai	121
牌	pai	5772
排	pai	5969
派	pai	6067
拍	pai	18300
瀊	pan	1
坢	pan	1
縏	pan	1
蒰	pan	1
碆	pan	1
蹣	pan	1
沜	pan	1
眅	pan	2
詊	pan	2
褩	pan	2
頖	pan	3
溿	pan	3
跘	pan	3
鞶	pan	5
牓	pan	5
磻	pan	6
蹒	pan	7
拚	pan	7
籓	pan	8
襻	pan	8
幋	pan	8
槃	pan	11
媻	pan	11
牉	pan	14
袢	pan	22
盤	pan	25
丬	pan	25
爿	pan	30
胖	pan	32
蟠	pan	32
泮	pan	47
番	pan	112
磐	pan	120
叛	pan	136
畔	pan	469
攀	pan	535
盼	pan	1100
判	pan	1165
潘	pan	2492
盘	pan	10537
舽	pang	1
夆	pang	2
徬	pang	4
汸	pang	4
龐	pang	4
耪	pang	7
雱	pang	7
尨	pang	7
螃	pang	10
磅	pang	12
膀	pang	12
嗙	pang	13
彷	pang	19
乓	pang	25
逄	pang	26
滂	pang	33
庞	pang	707
旁	pang	2492
胖	pang	4711
颮	pao	1
穮	pao	1
麭	pao	1
蚫	pao	1
奅	pao	1
皰	pao	1
鞄	pao	2
袌	pao	2
鉋	pao	3
垉	pao	3
麃	pao	3
萢	pao	4
瓟	pao	4
脬	pao	6
砲	pao	7
嚗	pao	9
炰	pao	9
褜	pao	9
匏	pao	12
狍	pao	13
脟	pao	15
拋	pao	20
咆	pao	20
庖	pao	25
疱	pao	72
刨	pao	309
袍	pao	318
炮	pao	1292
抛	pao	3004
泡	pao	5700
跑	pao	21815
翸	pen	1
葐	pen	1
歕	pen	1
翉	pen	1
呠	pen	2
衯	pen	2
湓	pen	10
噴	pen	13
盆	pen	1202
喷	pen	2059
皏	peng	1
樥	peng	1
駍	peng	1
掽	peng	1
鑝	peng	1
閛	peng	1
恲	peng	1
憉	peng	1
髼	peng	1
篣	peng	1
軯	peng	1
搒	peng	1
鬅	peng	1
痭	peng	1
匉	peng	1
韸	peng	1
漰	peng	1
熢	peng	1
錋	peng	2
輣	peng	2
絣	peng	2
摓	peng	2
磞	peng	2
剻	peng	2
傰	peng	3
蟛	peng	7
弸	peng	8
鵬	peng	8
抨	peng	9
怦	peng	10
堋	peng	11
踫	peng	11
椪	peng	28
芃	peng	34
嘭	peng	35
篷	peng	91
膨	peng	92
砰	peng	104
澎	peng	109
硼	peng	131
烹	peng	211
蓬	peng	402
棚	peng	651
朋	peng	706
捧	peng	1355
鹏	peng	1550
彭	peng	2214
碰	peng	2812
怌	pei	1
毰	pei	1
陫	pei	1
裵	pei	1
琣	pei	1
茷	pei	2
柸	pei	2
蓜	pei	2
轡	pei	2
浿	pei	3
俖	pei	3
锫	pei	5
衃	pei	5
賠	pei	6
伂	pei	6
帔	pei	6
姵	pei	9
旆	pei	12
醅	pei	17
霈	pei	46
辔	pei	49
珮	pei	57
胚	pei	224
沛	pei	290
呸	pei	417
裴	pei	718
佩	pei	920
培	pei	1120
赔	pei	1866
配	pei	6736
陪	pei	9130
銢	pi	1
魾	pi	1
髬	pi	1
否	pi	1
螷	pi	1
鷿	pi	1
礔	pi	1
銔	pi	1
蠯	pi	1
揊	pi	1
箆	pi	1
豼	pi	1
秠	pi	1
鵧	pi	1
狉	pi	1
稫	pi	1
猈	pi	1
粃	pi	1
駓	pi	1
鈲	pi	1
岯	pi	1
蚽	pi	1
錍	pi	1
鴄	pi	1
膍	pi	1
阰	pi	1
蚾	pi	1
憵	pi	1
鈚	pi	2
羆	pi	2
諀	pi	2
鎞	pi	2
毞	pi	2
闢	pi	3
澼	pi	3
睥	pi	4
疋	pi	4
紕	pi	5
貔	pi	5
蚍	pi	5
埤	pi	6
陴	pi	6
毘	pi	6
笓	pi	7
伓	pi	8
纰	pi	8
郫	pi	8
砒	pi	8
庀	pi	9
裨	pi	9
枇	pi	9
甓	pi	10
淠	pi	10
仳	pi	11
鈹	pi	11
鼙	pi	11
崥	pi	12
媲	pi	12
伾	pi	13
罴	pi	17
嚭	pi	18
蜱	pi	20
琵	pi	23
霹	pi	25
陂	pi	25
邳	pi	26
铍	pi	27
圮	pi	34
噼	pi	35
譬	pi	38
僻	pi	85
毗	pi	129
啤	pi	132
丕	pi	144
痞	pi	152
疲	pi	175
辟	pi	181
坯	pi	184
癖	pi	200
匹	pi	432
劈	pi	470
脾	pi	495
披	pi	504
屁	pi	2823
批	pi	3519
皮	pi	5013
鶣	pian	1
騈	pian	1
駢	pian	1
貵	pian	1
骿	pian	1
猵	pian	1
跰	pian	1
媥	pian	1
璸	pian	1
緶	pian	2
諚	pian	2
諞	pian	2
楩	pian	3
犏	pian	4
蹁	pian	4
楄	pian	6
胼	pian	6
扁	pian	12
騙	pian	16
谝	pian	33
骈	pian	40
翩	pian	56
便	pian	502
